"","alt","idOrder","idItem","costs","revenue","weight","idAccount"
"1","a",15,1,0.885983505984768,1.3662312773522,34,1
"2","a",13,2,0.36814386327751,1.95955202355981,1,2
"3","a",12,3,0.248887504218146,1.56340684881434,27,3
"4","a",20,4,0.450231249444187,1.40408568293788,93,4
"5","a",18,5,0.169797658687457,1.5383838058915,54,5
"6","b",8,6,0.963599728187546,1.42707843659446,85,11
"7","b",9,7,0.741403956199065,1.76743800262921,90,12
"8","b",6,8,0.292997704120353,1.53199450997636,12,13
"9","b",14,9,0.175835233181715,1.18397534685209,3,14
"10","b",19,10,0.649638068629429,1.49062920128927,19,15
"11","c",2,11,0.575358274625614,1.81456217938103,75,21
"12","c",8,12,0.990829407935962,1.94730751682073,41,22
"13","c",9,13,0.893841473385692,1.59870852623135,37,23
"14","c",11,14,0.289431585697457,1.50657362001948,39,24
"15","c",7,15,0.415216063382104,1.49797069351189,56,25
"16","a",18,16,0.806317074922845,1.34092629444785,99,1
"17","a",15,17,0.578346808673814,1.69733694777824,64,2
"18","a",16,18,0.380581178236753,1.32027141866274,50,3
"19","a",19,19,0.581747017567977,1.55557410372421,6,4
"20","a",5,20,0.896783158415928,1.06564565096051,7,5
"21","b",7,21,0.33179865940474,1.32539820368402,43,11
"22","b",11,22,0.0822549490258098,1.0007280416321,71,12
"23","b",4,23,0.995058630825952,1.93742752401158,28,13
"24","b",5,24,0.380925975739956,1.07510138070211,68,14
"25","b",14,25,0.63553866231814,1.47079628007486,73,15
"26","c",16,26,0.755179974017665,1.56337102479301,96,21
"27","c",2,27,0.369201503694057,1.87813567044213,46,22
"28","c",11,28,0.00998324318788946,1.43008949770592,80,23
"29","c",9,29,0.317459890153259,1.57113256468438,66,24
"30","c",15,30,0.538752313936129,1.52414448722266,58,25
